Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2019-12-31,12.44,12.68,12.44,12.6,,72421.0,908896.25,,,
2019-11-30,12.3,12.46,12.06,12.36,,312655.0,3836955.25,,,
2019-10-31,13.44,13.68,13.44,13.52,,422938.0,5711899.0,,,
2019-09-30,11.72,11.92,11.58,11.84,,136625.0,1602234.0,,,
2019-08-31,9.1,9.23,9.1,9.12,,23374.0,214505.2,,,
2019-07-31,9.08,9.38,9.01,9.36,,33475.0,307835.0,,,
2019-06-30,9.21,9.93,9.13,9.9,,45184.0,435613.75,,,
2019-05-31,9.96,9.98,9.7,9.88,,21276.0,209653.02,,,
2019-04-30,10.36,10.5,10.36,10.38,,13472.0,140757.48,,,
2019-03-31,,10.24,10.1,10.1,,8977.0,90954.0,,,
2019-02-28,,10.36,10.18,10.36,,23122.0,238052.0,,,
2019-01-31,,10.1,9.92,10.04,,,,,,
2017-04-30,9.57,9.567,9.46,9.5,0.01,15465.0,147018.0,,,
2017-03-31,9.36,9.43,9.355,9.43,0.03,6351.0,59756.0,,,
2017-02-28,9.22,9.236,9.12,9.24,0.11,38597.0,355266.0,,,
2017-01-31,9.7,9.78,9.559,9.74,0.06,65965.0,639260.0,,,
2016-12-31,9.6,9.711,9.6,9.63,-0.02,9215.0,88926.0,,,
2016-11-30,9.64,9.639,9.428,9.58,0.04,16643.0,159099.0,,,
2016-10-31,9.3,9.3,9.23,9.3,-0.02,4000.0,37054.0,,,
2016-09-30,9.2,9.32,9.2,9.2,-0.06,9282.0,85721.0,,,
2016-08-31,9.3,9.411,9.3,9.3,-0.04,11943.0,111256.0,,,
2016-07-31,9.2,9.299,9.192,9.27,-0.03,25367.0,234586.0,,,
2016-06-30,9.27,9.428,9.1,9.16,-0.03,17947.0,165626.0,,,
2016-05-31,9.87,9.98,9.87,9.93,0.02,37056.0,368117.0,,,
2016-04-30,10.02,10.02,9.901,9.93,-0.07,24010.0,239123.0,,,
2016-03-31,9.9,9.95,9.842,9.84,0.06,20829.0,206062.0,,,
2016-02-29,9.57,9.639,9.52,9.52,-0.05,14897.0,142317.0,,,
2016-01-31,9.81,10.1,9.81,10.1,0.3,21433.0,214843.0,,,
2015-12-31,10.95,10.95,10.63,10.9,-0.02,26040.0,279577.0,,,
2015-11-30,11.16,11.21,10.98,10.99,-0.27,55886.0,617100.0,,,68793.0
2015-10-31,10.715,11.01,10.715,11.01,2.9,64587.0,704908.0,,,704908.0
2015-09-30,9.75,9.977,9.75,10.15,0.98,32566.0,322436.0,,,322436.0
2015-08-31,9.8,9.911,9.754,9.911,1.65,33068.0,326130.0,,,326130.0
