Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
16/12/2019,6.8,6.96,6.75,6.96,,15125990,104098448,,,
13/12/2019,6.972,6.997,6.721,6.721,,22171272,151958992,,,
12/12/2019,6.56,6.83,6.547,6.782,,21175216,142250800,,,
11/12/2019,6.481,6.605,6.471,6.56,,9948216,65243648,,,
10/12/2019,6.601,6.652,6.419,6.485,,14189741,92405744,,,
09/12/2019,6.524,6.688,6.516,6.54,,10316509,67918560,,,
06/12/2019,6.465,6.554,6.415,6.525,,8731869,56830716,,,
05/12/2019,6.471,6.576,6.447,6.447,,8890992,57695188,,,
04/12/2019,6.311,6.471,6.28,6.471,,13220761,84714568,,,
03/12/2019,6.483,6.514,6.331,6.331,,13721057,87643920,,,
02/12/2019,6.565,6.627,6.463,6.466,,16626381,108675176,,,
29/11/2019,6.59,6.613,6.54,6.544,,8129735,53421936,,,
28/11/2019,6.667,6.667,6.585,6.619,,5205458,34500988,,,
27/11/2019,6.613,6.725,6.565,6.673,,11289725,75121200,,,
26/11/2019,6.674,6.737,6.598,6.598,,9325159,61875036,,,
25/11/2019,6.75,6.82,6.652,6.673,,8858720,59457360,,,
22/11/2019,6.674,6.808,6.6,6.683,,13020623,87115072,,,
21/11/2019,6.52,6.663,6.484,6.635,,9057601,59796116,,,
20/11/2019,6.512,6.61,6.426,6.599,,10491393,68532728,,,
19/11/2019,6.673,6.752,6.566,6.588,,9738605,64923616,,,
18/11/2019,6.56,6.701,6.54,6.618,,9742418,64497592,,,
15/11/2019,6.6,6.65,6.515,6.575,,11907248,78212040,,,
14/11/2019,6.65,6.657,6.508,6.553,,12094620,79576360,,,
13/11/2019,6.92,6.928,6.65,6.65,,18503154,123975968,,,
12/11/2019,6.887,7.028,6.887,6.959,,10925117,76092696,,,
11/11/2019,6.89,6.906,6.749,6.867,,11127270,75992488,,,
08/11/2019,7.026,7.029,6.871,6.901,,14900653,103294064,,,
07/11/2019,7,7.097,6.92,7.057,,15630663,109909888,,,
06/11/2019,6.9,7.138,6.88,6.931,,17912924,125631392,,,
