Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
31/12/2019,6.8,6.96,6.75,6.96,,15125990,104098448,,,
30/11/2019,6.59,6.613,6.54,6.544,,8129735,53421936,,,
31/10/2019,6.62,6.643,6.453,6.494,,19444744,126809632,,,
30/09/2019,6.937,6.987,6.83,6.871,,10186386,70270600,,,
31/08/2019,6.6,6.626,6.551,6.572,,11324440,74532632,,,
31/07/2019,6.94,7.191,6.932,7.04,,19107360,135703888,,,
30/06/2019,6.822,6.88,6.724,6.78,,20720160,140769648,,,
31/05/2019,6.145,6.15,6.025,6.087,,17193650,104436656,,,
30/04/2019,7.355,7.451,7.292,7.369,,10006605,73924816,,,
31/03/2019,,7.343,7.195,7.26,,12195197,88578306,,,
28/02/2019,,8.24,7.853,8.161,,16752077,135428954,,,
31/01/2019,,8.209,7.639,7.746,,,,,,
31/12/2018,,7.009,6.781,6.967,,,,,,
30/11/2018,,8.28,7.993,8.063,,19048157,153854187,,,
31/10/2018,,8.746,8.601,8.651,,11166424,96791003,,,
30/09/2018,,10.118,9.726,9.828,,22395401,220990354,,,
31/08/2018,,9.78,9.618,9.702,,11729358,113764755,,,
31/07/2018,,11.284,10.986,11.188,,21542897,240969258,,,
30/06/2018,,9.453,9.068,9.222,,24454316,225614089,,,
31/05/2018,,10.012,9.066,9.157,,60614123,568635956,,,
30/04/2018,,11.524,11.31,11.366,,10597628,120560940,,,
31/03/2018,,11.39,11.202,11.326,,15627252,176886591,,,
28/02/2018,,13.498,13.19,13.2,,10196665,135696725,,,
31/01/2018,16.03,14.992,14.776,14.79,,16897184,250838552,,,
31/12/2017,15.97,15.98,15.83,15.88,,5592819,88818937,,,
30/11/2017,16.05,16.2,15.86,15.86,,14275027,228133256,,,
31/10/2017,14.14,14.2,13.93,13.95,,14474391,203513646,,,
30/09/2017,14.37,14.64,14.28,14.63,,15745572,228576211,,,
31/08/2017,13.5,13.64,13.42,13.47,,10696296,144522849,,,
31/07/2017,15.42,15.54,14.99,15.09,,16238204,246479701,,,
30/06/2017,15.88,15.95,15.53,15.53,,13265509,208515726,,,
31/05/2017,16.11,16.18,15.58,15.58,-0.17,20710452,327688440,,,
30/04/2017,16.59,16.81,16.43,16.53,-0.16,15518130,257873027,,,
31/03/2017,16.04,16.15,15.81,16.15,,18777799,301086651,,,
28/02/2017,18.5,18.75,18.44,18.6,,8913874,165663123,,,
31/01/2017,18.96,19.14,18.38,18.39,,12524537,234416407,,,
31/12/2016,17.11,17.27,16.83,17.25,0.06,5679822,97037371,,,
30/11/2016,14.6,14.98,14.42,14.86,,10056973,148292662,,,
31/10/2016,13.33,13.45,13.06,13.16,0.7,7805301,103207663,,,
30/09/2016,10.05,11.71,9.9,11.57,,56936694,604720177,,,
31/08/2016,12.88,13.43,12.82,13.21,,16511411,218378829,,,
31/07/2016,11.85,12.25,11.8,12.03,,16861911,203628187,,,
30/06/2016,12.5,12.54,12.05,12.33,,25962837,319144119,,,
31/05/2016,16.38,16.49,16.03,16.06,0.16,7664349,124037922,,,
30/04/2016,17.15,17.19,16.47,16.47,,11295492,188864419,,,
31/03/2016,15.06,15.15,14.77,14.95,-0.61,11298553,168841706,,,
29/02/2016,15.71,16,15.36,15.99,,8887135,140236164,,,
