Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
16/12/2019,12.44,12.68,12.44,12.6,,72421,908896.25,,,
13/12/2019,12.48,12.62,12.44,12.5,,87956,1100827.13,,,
12/12/2019,12.58,12.6,12.3,12.42,,51939,644800.31,,,
11/12/2019,12.28,12.74,12.22,12.64,,141001,1768524.5,,,
10/12/2019,12.32,12.42,12.24,12.32,,30164,371778.31,,,
09/12/2019,12.26,12.3,12.16,12.26,,51915,635044.88,,,
06/12/2019,12.3,12.48,12.2,12.44,,137937,1703113.63,,,
05/12/2019,12.26,12.28,12.18,12.28,,117156,1433862.88,,,
04/12/2019,12.34,12.5,12.18,12.24,,158533,1949759.88,,,
03/12/2019,12.18,12.82,12.04,12.46,,484040,5997432,,,
02/12/2019,12.26,12.32,12,12.18,,354743,4310772,,,
29/11/2019,12.3,12.46,12.06,12.36,,312655,3836955.25,,,
28/11/2019,12.36,12.38,12.26,12.34,,186605,2300577.25,,,
27/11/2019,12.34,12.54,12.26,12.36,,163056,2016310.63,,,
26/11/2019,12.58,12.58,12.26,12.26,,816564,10023881,,,
25/11/2019,12.5,12.8,12.32,12.58,,176781,2213811.25,,,
22/11/2019,12.72,12.72,12.32,12.62,,230638,2891524.75,,,
21/11/2019,12.28,12.74,12.26,12.6,,341560,4279050.5,,,
20/11/2019,12.32,12.38,12.24,12.3,,96236,1183928.63,,,
19/11/2019,12.36,12.38,12.26,12.32,,103668,1276518.25,,,
18/11/2019,12.48,12.48,12.12,12.36,,177782,2185469,,,
15/11/2019,12.68,12.76,11.92,12.52,,290031,3602859.25,,,
14/11/2019,13.52,13.52,12.7,12.94,,133081,1732288.75,,,
13/11/2019,13.44,13.52,13.36,13.5,,368860,4971394,,,
12/11/2019,13.38,13.46,13.3,13.44,,191539,2561762.25,,,
11/11/2019,13.3,13.42,13.26,13.4,,242005,3227577,,,
08/11/2019,13.28,13.42,13.18,13.34,,283132,3766490.75,,,
07/11/2019,13.3,13.36,13.16,13.3,,372858,4949304.5,,,
06/11/2019,13.32,13.5,13.24,13.32,,223397,2988327.75,,,
05/11/2019,13.32,13.4,13.22,13.36,,230933,3077086.5,,,
04/11/2019,13.4,13.46,13.22,13.4,,326569,4354178.5,,,
01/11/2019,13.48,13.6,13.34,13.46,,258648,3479482.5,,,
31/10/2019,13.44,13.68,13.44,13.52,,422938,5711899,,,
30/10/2019,13.5,13.66,13.5,13.58,,269401,3650759.5,,,
29/10/2019,13.06,13.58,13.06,13.52,,134733,1798169.75,,,
28/10/2019,13,13.16,13,13.06,,73300,956643.88,,,
25/10/2019,13.02,13.06,12.94,13.02,,156770,2039201.38,,,
24/10/2019,13.02,13.14,12.98,13.02,,84282,1097344.88,,,
23/10/2019,12.9,13.02,12.88,13,,96200,1247369.13,,,
22/10/2019,12.82,13,12.82,12.94,,107342,1382831.13,,,
21/10/2019,12.74,12.88,12.64,12.82,,115760,1484517.38,,,
